JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|ReqGRES|Timelimit|QOS|NodeList|JobName|NTasks
1068|1068|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:42:05|2021-02-11T23:42:05|2021-02-12T01:52:24|2021-02-12T01:57:14|00:04:50|0:0|COMPLETED|1|1|1|2800Mc||00:16:00|normal|n4|jobid_1068|
1069|1069|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:42:14|2021-02-11T23:42:14|2021-02-12T00:29:07|2021-02-12T00:29:07|00:00:00|0:0|COMPLETED|1|1|1|2800Mc||00:12:00|normal|b1|jobid_1069|
1070|1070|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:43:27|2021-02-11T23:43:27|2021-02-11T23:49:32|2021-02-11T23:53:28|00:03:56|0:0|COMPLETED|1|12|12|2800Mc||00:11:00|normal|g1|jobid_1070|
1071|1071|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:43:42|2021-02-11T23:43:42|2021-02-12T10:22:02|2021-02-12T10:22:03|00:00:01|0:0|COMPLETED|1|1|1|2800Mc||00:29:00|normal|m1|jobid_1071|
1072|1072|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:45:15|2021-02-11T23:45:15|2021-02-12T00:00:03|2021-02-12T00:04:14|00:04:11|0:0|COMPLETED|3|36|36|2800Mc||00:10:00|normal|b1,g1,m4|jobid_1072|
1073|1073|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:45:37|2021-02-11T23:45:37|2021-02-11T23:54:02|2021-02-11T23:56:59|00:02:57|0:0|COMPLETED|1|1|1|2800Mc|gpu:1|00:06:00|normal|g1|jobid_1073|
1074|1074|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:45:58|2021-02-11T23:45:58|2021-02-12T02:05:59|2021-02-12T02:21:22|00:15:23|0:0|COMPLETED|1|6|6|2800Mc||00:20:00|normal|m4|jobid_1074|
1075|1075|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:46:03|2021-02-11T23:46:03|2021-02-12T01:12:44|2021-02-12T01:20:18|00:07:34|0:0|COMPLETED|1|12|12|500000Mn||00:30:00|normal|b1|jobid_1075|
1076|1076|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:46:47|2021-02-11T23:46:47|2021-02-12T00:50:40|2021-02-12T00:50:41|00:00:01|0:0|COMPLETED|1|12|12|2800Mc||00:10:00|normal|m4|jobid_1076|
1077|1077|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:47:02|2021-02-11T23:47:02|2021-02-12T09:57:42|2021-02-12T09:57:42|00:00:00|0:0|COMPLETED|1|6|6|2800Mc||00:25:00|normal|n1|jobid_1077|
1078|1078|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:47:09|2021-02-11T23:47:09|2021-02-12T00:51:11|2021-02-12T00:51:46|00:00:35|0:0|COMPLETED|1|6|6|2800Mc||00:09:00|normal|m4|jobid_1078|
1079|1079|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:48:16|2021-02-11T23:48:16|2021-02-11T23:54:32|2021-02-11T23:54:32|00:00:00|0:0|COMPLETED|1|12|12|2800Mc||00:05:00|normal|m4|jobid_1079|
1080|1080|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:49:11|2021-02-11T23:49:11|2021-02-11T23:54:53|2021-02-12T00:05:27|00:10:34|0:0|COMPLETED|4|48|48|2800Mc||00:14:00|normal|n[1-4]|jobid_1080|
1081|1081|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:50:13|2021-02-11T23:50:13|2021-02-12T00:35:38|2021-02-12T00:45:06|00:09:28|0:0|COMPLETED|1|1|1|2800Mc|gpu:1|00:20:00|normal|g1|jobid_1081|
1082|1082|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:50:50|2021-02-11T23:50:50|2021-02-12T00:09:04|2021-02-12T00:28:41|00:19:37|0:0|COMPLETED|1|12|12|2800Mc||00:20:00|normal|b1|jobid_1082|
